dim,nx,ny,nz,unknowns,nnz,iters,tol,maxit,repeat,time_assemble_s,time_solve_best_s,time_solve_avg_s,total_time_s
1,2000,1,1,2000,5998,1000,9.99999999999999980e-13,500000,1,2.56295999999999987e-04,3.80693490000000023e-02,3.80693490000000023e-02,3.83416209999999993e-02
1,5000,1,1,5000,14998,2500,9.99999999999999980e-13,500000,1,7.85457999999999946e-04,1.04868362000000007e-01,1.04868362000000007e-01,1.05714930999999998e-01
1,10000,1,1,10000,29998,5000,9.99999999999999980e-13,500000,1,1.11342699999999995e-03,3.21415724999999985e-01,3.21415724999999985e-01,3.22591090999999996e-01
1,20000,1,1,20000,59998,10000,9.99999999999999980e-13,500000,1,2.06033700000000019e-03,1.17208424699999991e+00,1.17208424699999991e+00,1.17425395900000007e+00
1,40000,1,1,40000,119998,20000,9.99999999999999980e-13,500000,1,3.56474499999999981e-03,3.86510617099999987e+00,3.86510617099999987e+00,3.86887878699999987e+00
2,50,50,1,2500,12300,112,9.99999999999999980e-13,500000,1,2.67470000000000012e-04,1.48816500000000006e-03,1.48816500000000006e-03,1.76232699999999995e-03
2,100,100,1,10000,49600,225,9.99999999999999980e-13,500000,1,6.53647000000000039e-04,1.26009989999999999e-02,1.26009989999999999e-02,1.32750850000000007e-02
2,150,150,1,22500,111900,338,9.99999999999999980e-13,500000,1,1.42605100000000001e-03,4.39062569999999971e-02,4.39062569999999971e-02,4.54007499999999967e-02
2,200,200,1,40000,199200,450,9.99999999999999980e-13,500000,1,2.37817500000000017e-03,1.05536835999999995e-01,1.05536835999999995e-01,1.08029347999999997e-01
2,250,250,1,62500,311500,612,9.99999999999999980e-13,500000,1,9.17010899999999921e-03,3.39610153000000026e-01,3.39610153000000026e-01,3.49758722000000022e-01
2,300,300,1,90000,448800,680,9.99999999999999980e-13,500000,1,1.29249029999999997e-02,6.15641230000000039e-01,6.15641230000000039e-01,6.29014544999999980e-01
3,10,10,10,1000,6400,29,9.99999999999999980e-13,500000,1,1.23387000000000003e-04,3.12899000000000000e-04,3.12899000000000000e-04,4.40954000000000020e-04
3,15,15,15,3375,22275,48,9.99999999999999980e-13,500000,1,1.26667500000000009e-03,3.43369000000000009e-03,3.43369000000000009e-03,4.73979799999999993e-03
3,20,20,20,8000,53600,62,9.99999999999999980e-13,500000,1,1.65674099999999999e-03,8.82017199999999939e-03,8.82017199999999939e-03,1.05973479999999995e-02
3,25,25,25,15625,105625,80,9.99999999999999980e-13,500000,1,3.60721300000000017e-03,1.72550919999999997e-02,1.72550919999999997e-02,2.09404990000000013e-02
3,30,30,30,27000,183600,95,9.99999999999999980e-13,500000,1,5.37833400000000024e-03,4.23416029999999985e-02,4.23416029999999985e-02,4.78690359999999968e-02
3,35,35,35,42875,292775,111,9.99999999999999980e-13,500000,1,7.63769400000000043e-03,6.71712190000000042e-02,6.71712190000000042e-02,7.50396410000000041e-02
