n,prec,iters,residual,time_setup,time_solve, total time
10000,identity,5001,6.75852e-18,0,0.402238,0.402238
10000,diag_jacobi,5001,6.75852e-18,0.000593897,0.366603,0.367197
10000,blockjac,3478,9.60231e-17,0.00126027,0.860471,0.861731
10000,as,208,4.03863e-17,0.00123404,0.0781492,0.0793832
20000,identity,10001,6.73657e-18,0,1.12914,1.12914
20000,diag_jacobi,10001,6.73657e-18,0.000629818,1.03355,1.03418
20000,blockjac,4139,8.97656e-17,0.00257011,2.06349,2.06606
20000,as,391,5.01409e-17,0.00691364,0.262726,0.26964
40000,identity,20001,6.78283e-18,0,4.4213,4.4213
40000,diag_jacobi,20001,6.78283e-18,0.00128976,4.64482,4.64611
40000,blockjac,8219,9.80459e-17,0.00257823,6.22023,6.22281
40000,as,745,5.91395e-17,0.00808356,0.721054,0.729138
80000,identity,40001,6.88943e-18,0,15.2897,15.2897
80000,diag_jacobi,40001,6.88943e-18,0.00269081,14.7332,14.7359
80000,blockjac,16361,8.88486e-17,0.00483411,23.1663,23.1711
80000,as,1455,9.03576e-17,0.0130579,3.2897,3.30276
160000,identity,80001,6.80359e-18,0,112.486,112.486
160000,diag_jacobi,80001,6.80359e-18,0.00365947,121.799,121.803
160000,blockjac,60114,9.97721e-17,0.00678185,277.066,277.073
160000,as,2878,7.18487e-17,0.039884,18.2381,18.278
