dim,nx,ny,nz,unknowns,nnz,iters,tol,maxit,repeat,time_assemble_s,time_solve_best_s,time_solve_avg_s,total_time_s
1,2000,1,1,2000,5998,1000,9.99999999999999980e-13,500000,1,1.88454999999999997e-04,4.75463269999999993e-02,4.75463269999999993e-02,4.77477259999999973e-02
1,5000,1,1,5000,14998,2500,9.99999999999999980e-13,500000,1,6.74531000000000024e-04,9.73302570000000034e-02,9.73302570000000034e-02,9.80528410000000017e-02
1,10000,1,1,10000,29998,5000,9.99999999999999980e-13,500000,1,8.42168000000000018e-04,3.48546000000000022e-01,3.48546000000000022e-01,3.49451940000000016e-01
1,20000,1,1,20000,59998,10000,9.99999999999999980e-13,500000,1,2.73215099999999994e-03,1.16291359099999991e+00,1.16291359099999991e+00,1.16591782199999994e+00
1,40000,1,1,40000,119998,20000,9.99999999999999980e-13,500000,1,5.66783200000000025e-03,3.88587783799999986e+00,3.88587783799999986e+00,3.89194617699999990e+00
2,50,50,1,2500,12300,112,9.99999999999999980e-13,500000,1,4.95891999999999947e-04,4.82869800000000019e-03,4.82869800000000019e-03,5.34730199999999996e-03
2,100,100,1,10000,49600,225,9.99999999999999980e-13,500000,1,1.34796200000000008e-03,4.27367250000000032e-02,4.27367250000000032e-02,4.41421710000000009e-02
2,150,150,1,22500,111900,338,9.99999999999999980e-13,500000,1,3.36270500000000012e-03,9.29382750000000007e-02,9.29382750000000007e-02,9.64623639999999949e-02
2,200,200,1,40000,199200,450,9.99999999999999980e-13,500000,1,4.92688100000000014e-03,1.77691285000000004e-01,1.77691285000000004e-01,1.82826359999999993e-01
2,250,250,1,62500,311500,612,9.99999999999999980e-13,500000,1,6.70520700000000035e-03,3.90409579000000007e-01,3.90409579000000007e-01,3.98055394000000007e-01
2,300,300,1,90000,448800,681,9.99999999999999980e-13,500000,1,1.83264170000000011e-02,6.67522249999999984e-01,6.67522249999999984e-01,6.86872306000000044e-01
3,10,10,10,1000,6400,29,9.99999999999999980e-13,500000,1,1.02909000000000000e-04,3.09932999999999975e-04,3.09932999999999975e-04,4.16699999999999991e-04
3,15,15,15,3375,22275,48,9.99999999999999980e-13,500000,1,5.07132999999999998e-04,2.69470300000000012e-03,2.69470300000000012e-03,3.22060799999999980e-03
3,20,20,20,8000,53600,62,9.99999999999999980e-13,500000,1,2.26307799999999996e-03,1.02937629999999992e-02,1.02937629999999992e-02,1.26351150000000006e-02
3,25,25,25,15625,105625,80,9.99999999999999980e-13,500000,1,2.95713800000000021e-03,2.96604760000000016e-02,2.96604760000000016e-02,3.27111039999999978e-02
3,30,30,30,27000,183600,95,9.99999999999999980e-13,500000,1,5.14630500000000032e-03,4.62806529999999980e-02,4.62806529999999980e-02,5.15903289999999973e-02
3,35,35,35,42875,292775,111,9.99999999999999980e-13,500000,1,6.87889399999999998e-03,6.21327529999999989e-02,6.21327529999999989e-02,6.93044169999999932e-02
