dim,nx,ny,nz,unknowns,nnz,prec,nprocs,nparts,overlap,iters,tol,maxit,repeat,time_assemble_s,time_setup_s,time_solve_best_s,time_solve_avg_s,total_time_best_s,total_time_avg_s
1,40000,1,1,40000,119998,identity,1,32,1,19999,9.99999999999999980e-13,500000,1,1.42770799999999997e-03,0.00000000000000000e+00,3.77841962999999970e+00,3.77841962999999970e+00,3.77984733799999972e+00,3.77984733799999972e+00
1,40000,1,1,40000,119998,as2,1,32,1,605,9.99999999999999980e-13,500000,1,1.35130699999999994e-03,1.01307299999999992e-02,5.62584650999999991e-01,5.62584650999999991e-01,5.74066687999999936e-01,5.74066687999999936e-01
1,40000,1,1,40000,119998,as2,2,32,1,529,9.99999999999999980e-13,500000,1,1.40707200000000010e-03,5.94599799999999921e-03,2.47048739999999961e-01,2.47048739999999961e-01,2.54401809999999950e-01,2.54401809999999950e-01
1,40000,1,1,40000,119998,as2,4,32,1,338,9.99999999999999980e-13,500000,1,3.91238100000000037e-03,3.52831799999999904e-03,8.52518429999999938e-02,8.52518429999999938e-02,9.26925419999999889e-02,9.26925419999999889e-02
1,40000,1,1,40000,119998,as2,8,32,1,232,9.99999999999999980e-13,500000,1,3.12936300000000002e-03,2.55688899999999969e-03,4.91392120000000016e-02,4.91392120000000016e-02,5.48254640000000043e-02,5.48254640000000043e-02
1,40000,1,1,40000,119998,as2,16,32,1,188,9.99999999999999980e-13,500000,1,3.34245300000000000e-03,2.71387699999999996e-03,3.76532110000000059e-02,3.76532110000000059e-02,4.37095410000000045e-02,4.37095410000000045e-02
1,80000,1,1,80000,239998,identity,1,32,1,39999,9.99999999999999980e-13,500000,1,2.60978700000000013e-03,0.00000000000000000e+00,1.53514666090000009e+01,1.53514666090000009e+01,1.53540763960000017e+01,1.53540763960000017e+01
1,80000,1,1,80000,239998,as2,1,32,1,945,9.99999999999999980e-13,500000,1,2.66770700000000006e-03,1.98695589999999984e-02,1.78532364200000004e+00,1.78532364200000004e+00,1.80786090800000010e+00,1.80786090800000010e+00
1,80000,1,1,80000,239998,as2,2,32,1,898,9.99999999999999980e-13,500000,1,2.67749299999999997e-03,1.03413109999999989e-02,8.37871299000000014e-01,8.37871299000000014e-01,8.50890103000000009e-01,8.50890103000000009e-01
1,80000,1,1,80000,239998,as2,4,32,1,560,9.99999999999999980e-13,500000,1,3.88941799999999996e-03,6.54423100000000018e-03,2.81131598000000038e-01,2.81131598000000038e-01,2.91565247000000027e-01,2.91565247000000027e-01
1,80000,1,1,80000,239998,as2,8,32,1,338,9.99999999999999980e-13,500000,1,6.11111000000000033e-03,5.60998199999999947e-03,1.52257884000000010e-01,1.52257884000000010e-01,1.63978975999999999e-01,1.63978975999999999e-01
1,80000,1,1,80000,239998,as2,16,32,1,235,9.99999999999999980e-13,500000,1,1.43473070000000001e-02,1.12169579999999991e-02,1.20165304999999958e-01,1.20165304999999958e-01,1.45729569999999947e-01,1.45729569999999947e-01

1,160000,1,1,160000,479998,identity,1,32,1,79999,9.99999999999999980e-13,500000,1,5.27534800000000002e-03,0.00000000000000000e+00,7.07125283419999988e+01,7.07125283419999988e+01,7.07178036899999967e+01,7.07178036899999967e+01
1,160000,1,1,160000,479998,as2,1,32,1,1535,9.99999999999999980e-13,500000,1,5.78668900000000024e-03,4.13109289999999962e-02,6.25929786500000063e+00,6.25929786500000063e+00,6.30639548300000019e+00,6.30639548300000019e+00
1,160000,1,1,160000,479998,as2,2,32,1,1538,9.99999999999999980e-13,500000,1,5.63287499999999986e-03,2.16874440000000002e-02,3.15991098599999987e+00,3.15991098599999987e+00,3.18723130500000007e+00,3.18723130500000007e+00
1,160000,1,1,160000,479998,as2,4,32,1,1002,9.99999999999999980e-13,500000,1,8.83721300000000001e-03,1.45094179999999996e-02,1.21922356600000015e+00,1.21922356600000015e+00,1.24257019700000004e+00,1.24257019700000004e+00
1,160000,1,1,160000,479998,as2,8,32,1,579,9.99999999999999980e-13,500000,1,9.59411599999999976e-03,1.14697850000000014e-02,5.97158670000000003e-01,5.97158670000000003e-01,6.18222570999999999e-01,6.18222570999999999e-01
1,160000,1,1,160000,479998,as2,16,32,1,333,9.99999999999999980e-13,500000,1,1.50324369999999992e-02,1.23716519999999969e-02,3.47700735999999955e-01,3.47700735999999955e-01,3.75104824999999975e-01,3.75104824999999975e-01
2,400,400,1,160000,798400,identity,1,32,1,980,9.99999999999999980e-13,500000,1,9.63027500000000064e-03,0.00000000000000000e+00,1.34692432299999987e+00,1.34692432299999987e+00,1.35655459799999978e+00,1.35655459799999978e+00
2,400,400,1,160000,798400,as2,1,32,1,675,9.99999999999999980e-13,500000,1,8.84603999999999946e-03,6.97768460000000035e-02,3.45025743500000015e+00,3.45025743500000015e+00,3.52888032099999993e+00,3.52888032099999993e+00
2,400,400,1,160000,798400,as2,2,32,1,570,9.99999999999999980e-13,500000,1,8.94729099999999958e-03,3.41596040000000031e-02,1.44268905799999980e+00,1.44268905799999980e+00,1.48579595299999978e+00,1.48579595299999978e+00
2,400,400,1,160000,798400,as2,4,32,1,477,9.99999999999999980e-13,500000,1,1.29623229999999996e-02,2.04231310000000006e-02,6.58167292999999987e-01,6.58167292999999987e-01,6.91552747000000023e-01,6.91552747000000023e-01
2,400,400,1,160000,798400,as2,8,32,1,396,9.99999999999999980e-13,500000,1,1.54845859999999998e-02,1.61376889999999967e-02,4.64495903000000043e-01,4.64495903000000043e-01,4.96118178000000021e-01,4.96118178000000021e-01
2,400,400,1,160000,798400,as2,16,32,1,237,9.99999999999999980e-13,500000,1,2.25954059999999984e-02,1.43442959999999994e-02,2.21964209999999940e-01,2.21964209999999940e-01,2.58903911999999958e-01,2.58903911999999958e-01
2,800,800,1,640000,3196800,identity,1,32,1,2078,9.99999999999999980e-13,500000,1,3.39811459999999968e-02,0.00000000000000000e+00,1.37166303930000009e+01,1.37166303930000009e+01,1.37506115390000012e+01,1.37506115390000012e+01
2,800,800,1,640000,3196800,as2,1,32,1,1005,9.99999999999999980e-13,500000,1,3.45652609999999999e-02,2.69125832999999981e-01,2.14330273889999994e+01,2.14330273889999994e+01,2.17367184830000006e+01,2.17367184830000006e+01
2,800,800,1,640000,3196800,as2,2,32,1,890,9.99999999999999980e-13,500000,1,3.46530619999999984e-02,1.37927370999999993e-01,1.01441467899999989e+01,1.01441467899999989e+01,1.03167272229999991e+01,1.03167272229999991e+01
