n,prec,nprocs,overlap,block_size,iters,time_setup,time_solve,total_time
80000,as,1,1,32,1449,5.367442e-02,5.424859e+00,5.478534e+00
80000,as,2,1,32,759,2.332830e-02,1.430481e+00,1.453810e+00
80000,as,4,1,32,440,1.121715e-02,4.232281e-01,4.344452e-01
80000,as,8,1,32,288,1.252110e-02,3.378222e-01,3.503433e-01
80000,as,16,1,32,210,6.589951e-03,1.577417e-01,1.643316e-01
80000,as2,1,1,32,448,4.300884e-02,1.881100e+00,1.924109e+00
80000,as2,2,1,32,473,2.165398e-02,1.059584e+00,1.081238e+00
80000,as2,4,1,32,446,1.302266e-02,4.541399e-01,4.671625e-01
80000,as2,8,1,32,325,1.391785e-02,4.317373e-01,4.456552e-01
80000,as2,16,1,32,225,7.145612e-03,1.713033e-01,1.784489e-01
80000,as,1,2,32,1471,4.175869e-02,5.395686e+00,5.437444e+00
80000,as,2,2,32,771,2.357921e-02,1.431785e+00,1.455364e+00
80000,as,4,2,32,444,1.086019e-02,4.115024e-01,4.223626e-01
80000,as,8,2,32,287,1.240002e-02,3.298055e-01,3.422055e-01
80000,as,16,2,32,205,6.698360e-03,1.426792e-01,1.493775e-01
80000,as2,1,2,32,482,4.233319e-02,1.993562e+00,2.035896e+00
80000,as2,2,2,32,496,2.293791e-02,1.080498e+00,1.103436e+00
80000,as2,4,2,32,495,1.252544e-02,4.997251e-01,5.122506e-01
80000,as2,8,2,32,322,1.416969e-02,4.111914e-01,4.253611e-01
80000,as2,16,2,32,222,7.484755e-03,1.707670e-01,1.782518e-01
80000,as,1,4,32,1487,4.318366e-02,5.504503e+00,5.547687e+00
80000,as,2,4,32,779,2.074091e-02,1.416515e+00,1.437256e+00
80000,as,4,4,32,445,1.101224e-02,4.300716e-01,4.410839e-01
80000,as,8,4,32,284,1.234367e-02,3.050908e-01,3.174345e-01
80000,as,16,4,32,199,6.913611e-03,1.352331e-01,1.421467e-01
80000,as2,1,4,32,507,4.245423e-02,2.131091e+00,2.173545e+00
80000,as2,2,4,32,535,2.187938e-02,1.172699e+00,1.194579e+00
80000,as2,4,4,32,516,1.155830e-02,6.279535e-01,6.395118e-01
80000,as2,8,4,32,342,1.343729e-02,4.692403e-01,4.826776e-01
80000,as2,16,4,32,226,8.393198e-03,1.865392e-01,1.949324e-01
80000,as,1,8,32,1513,4.558627e-02,5.717074e+00,5.762660e+00
80000,as,2,8,32,787,3.756318e-02,1.490631e+00,1.528194e+00
80000,as,4,8,32,439,1.090612e-02,5.186811e-01,5.295872e-01
80000,as,8,8,32,273,1.280709e-02,3.089372e-01,3.217443e-01
80000,as,16,8,32,185,1.428619e-02,1.303331e-01,1.446193e-01
80000,as2,1,8,32,541,4.301804e-02,2.223819e+00,2.266837e+00
80000,as2,2,8,32,555,3.489183e-02,1.257261e+00,1.292153e+00
80000,as2,4,8,32,523,1.167356e-02,5.498631e-01,5.615367e-01
80000,as2,8,8,32,344,1.455709e-02,4.495677e-01,4.641248e-01
80000,as2,16,8,32,207,7.206843e-03,1.647995e-01,1.720063e-01
80000,as,1,16,32,1538,4.219374e-02,5.578041e+00,5.620235e+00
80000,as,2,16,32,789,2.070827e-02,1.465910e+00,1.486619e+00
80000,as,4,16,32,435,1.155383e-02,4.302756e-01,4.418294e-01
80000,as,8,16,32,263,1.280487e-02,3.054637e-01,3.182685e-01
80000,as,16,16,32,168,7.082099e-03,1.244522e-01,1.315343e-01
80000,as2,1,16,32,548,4.212097e-02,2.253435e+00,2.295556e+00
80000,as2,2,16,32,585,2.213341e-02,1.269866e+00,1.291999e+00
80000,as2,4,16,32,516,1.217122e-02,5.905254e-01,6.026966e-01
80000,as2,8,16,32,321,1.312868e-02,4.350788e-01,4.482075e-01
80000,as2,16,16,32,187,7.412544e-03,1.578017e-01,1.652142e-01
80000,as,1,32,32,1546,4.222340e-02,5.879704e+00,5.921927e+00
80000,as,2,32,32,790,2.268840e-02,1.525756e+00,1.548445e+00
80000,as,4,32,32,432,1.179866e-02,4.549879e-01,4.667866e-01
80000,as,8,32,32,254,1.374572e-02,3.485294e-01,3.622751e-01
80000,as,16,32,32,156,1.711553e-02,1.396294e-01,1.567450e-01
80000,as2,1,32,32,554,4.301859e-02,2.385975e+00,2.428994e+00
80000,as2,2,32,32,580,2.262923e-02,1.310555e+00,1.333184e+00
80000,as2,4,32,32,506,1.149862e-02,8.371614e-01,8.486601e-01
80000,as2,8,32,32,305,1.372386e-02,3.964222e-01,4.101460e-01
80000,as2,16,32,32,172,5.658930e-03,1.020348e-01,1.076937e-01
80000,as,1,64,32,1583,1.927211e-02,2.844482e+00,2.863754e+00
80000,as,2,64,32,794,1.226968e-02,7.617191e-01,7.739888e-01
80000,as,4,64,32,426,9.513930e-03,2.318868e-01,2.414007e-01
80000,as,8,64,32,244,5.414338e-03,1.345805e-01,1.399948e-01
80000,as,16,64,32,141,5.791883e-03,8.141622e-02,8.720811e-02
80000,as2,1,64,32,563,2.002102e-02,1.115196e+00,1.135217e+00
80000,as2,2,64,32,587,1.039616e-02,6.004046e-01,6.108007e-01
80000,as2,4,64,32,498,6.289100e-03,3.034193e-01,3.097084e-01
80000,as2,8,64,32,288,5.473012e-03,1.665163e-01,1.719893e-01
80000,as2,16,64,32,154,1.207382e-02,9.614836e-02,1.082222e-01
