n,prec,nprocs,iters,time_setup,time_solve,total_time
4000,as,1,1,192,2.371959e-03,3.404679e-02,3.641875e-02
4000,as,8,8,131,6.642410e-04,9.533340e-03,1.019758e-02
4000,as,16,16,109,5.122675e-03,1.253046e-02,1.765314e-02
4000,as2,1,1,119,2.459962e-03,2.392140e-02,2.638136e-02
4000,as2,8,8,142,8.954880e-04,1.322183e-02,1.411732e-02
4000,as2,16,16,114,9.071030e-04,8.910210e-03,9.817313e-03
8000,as,1,1,255,4.936646e-03,7.162086e-02,7.655751e-02
8000,as,8,8,145,1.405314e-03,1.882403e-02,2.022935e-02
8000,as,16,16,131,7.338990e-04,1.030924e-02,1.104314e-02
8000,as2,1,1,152,4.439400e-03,5.182806e-02,5.626746e-02
8000,as2,8,8,162,1.458034e-03,2.394311e-02,2.540115e-02
8000,as2,16,16,140,1.027963e-03,1.505460e-02,1.608257e-02
16000,as,1,1,380,1.046812e-02,1.911735e-01,2.016416e-01
16000,as,8,8,163,2.559649e-03,3.553310e-02,3.809275e-02
16000,as,16,16,145,5.973292e-03,8.328635e-02,8.925965e-02
16000,as2,1,1,196,8.744705e-03,1.124739e-01,1.212186e-01
16000,as2,8,8,177,2.842964e-03,5.080492e-02,5.364789e-02
16000,as2,16,16,158,1.644713e-03,2.563583e-02,2.728054e-02
