n,prec,nprocs,block_size,overlap,iters,time_setup,time_solve,total_time
40000,as,1,1,1,581,6.727560e-03,8.187102e-01,8.254377e-01
40000,as,1,2,1,727,7.347867e-03,8.705693e-01,8.779171e-01
40000,as,1,4,1,728,7.589011e-03,8.752828e-01,8.828718e-01
40000,as,1,8,1,726,9.261987e-03,8.395861e-01,8.488481e-01
40000,as,1,16,1,729,1.317887e-02,8.215865e-01,8.347653e-01
40000,as,1,32,1,759,2.039269e-02,8.286307e-01,8.490233e-01
40000,as,2,1,1,315,3.204167e-03,2.285612e-01,2.317653e-01
40000,as,2,2,1,373,3.931759e-03,2.417198e-01,2.456515e-01
40000,as,2,4,1,375,3.864007e-03,2.439353e-01,2.477993e-01
40000,as,2,8,1,373,5.078689e-03,2.336967e-01,2.387753e-01
40000,as,2,16,1,389,6.633234e-03,2.376823e-01,2.443155e-01
40000,as,2,32,1,440,1.049446e-02,2.656780e-01,2.761724e-01
40000,as,4,1,1,165,2.278556e-03,9.343595e-02,9.571451e-02
40000,as,4,2,1,195,2.005283e-03,7.301352e-02,7.501880e-02
40000,as,4,4,1,195,2.206100e-03,7.575108e-02,7.795718e-02
40000,as,4,8,1,204,2.564742e-03,7.343203e-02,7.599677e-02
40000,as,4,16,1,229,3.550738e-03,1.070770e-01,1.106277e-01
40000,as,4,32,1,288,5.456444e-03,1.297306e-01,1.351871e-01
40000,as,8,1,1,89,2.571423e-03,4.449177e-02,4.706320e-02
40000,as,8,2,1,104,2.341259e-03,5.597250e-02,5.831376e-02
40000,as,8,4,1,109,2.298655e-03,4.926774e-02,5.156639e-02
40000,as,8,8,1,122,3.169552e-03,5.290008e-02,5.606964e-02
40000,as,8,16,1,152,4.188803e-03,5.738448e-02,6.157328e-02
40000,as,8,32,1,210,6.191574e-03,6.824126e-02,7.443284e-02
40000,as,16,1,1,49,1.147885e-03,1.712898e-02,1.827686e-02
40000,as,16,2,1,61,1.588443e-03,1.907807e-02,2.066651e-02
40000,as,16,4,1,66,1.327474e-03,2.019715e-02,2.152462e-02
40000,as,16,8,1,81,1.655679e-03,2.282429e-02,2.447997e-02
40000,as,16,16,1,111,2.145828e-03,3.165011e-02,3.379594e-02
40000,as,16,32,1,171,3.366508e-03,4.481670e-02,4.818321e-02
