n,prec,block_size,iters,residual,time_setup,time_solve,total_time
10000,identity,0,5001,6.75852e-18,0,0.373416,0.373416
10000,as,4,208,4.03863e-17,0.00227931,0.0694827,0.071762
10000,as,8,215,3.13247e-17,0.00275695,0.0763099,0.0790669
10000,as,16,241,7.12881e-17,0.00355742,0.0864418,0.0899993
10000,as,32,302,5.35921e-17,0.00539538,0.113467,0.118862
20000,identity,0,10001,6.73657e-18,0,1.41897,1.41897
20000,as,4,391,5.01409e-17,0.00537629,0.281072,0.286448
20000,as,8,387,7.44034e-17,0.0048562,0.249652,0.254508
20000,as,16,403,4.12766e-17,0.00677025,0.258092,0.264862
20000,as,32,454,8.11788e-17,0.0160338,0.280752,0.296786
40000,identity,0,20001,6.78283e-18,0,3.8774,3.8774
40000,as,4,745,5.91395e-17,0.00730499,0.962772,0.970077
40000,as,8,746,6.56936e-17,0.009827,1.04705,1.05688
40000,as,16,749,8.05581e-17,0.0108941,0.992604,1.0035
40000,as,32,778,4.27721e-17,0.0237754,0.803555,0.82733
80000,identity,0,40001,6.88943e-18,0,15.7796,15.7796
80000,as,4,1455,9.03576e-17,0.0211326,4.21276,4.2339
80000,as,8,1440,5.54967e-17,0.0149996,4.01515,4.03015
80000,as,16,1447,6.64403e-17,0.0295586,3.84349,3.87304
80000,as,32,1472,4.83925e-17,0.0359119,3.5119,3.54782
160000,identity,0,80001,6.80359e-18,0,111.919,111.919
160000,as,4,2878,7.18487e-17,0.0199816,17.5168,17.5368
160000,as,8,2862,4.09997e-17,0.0255933,16.4806,16.5062
160000,as,16,2895,7.5062e-17,0.0389009,16.3555,16.3944
160000,as,32,2912,4.80094e-17,0.0601595,16.2663,16.3265
