preconditioner,dim,apply_prec_time,iterations,time_per_iter
Pr1,1000,0.0001,1200,2.4e-05
Pr1,2000,0.0002,1280,4.8e-05
Pr1,4000,0.0004,1360,9.6e-05
Pr1,8000,0.0008,1440,0.000192
Pr1,16000,0.0016,1520,0.000384
Pr1,32000,0.0032,1600,0.000768
Pr2,1000,0.0002,1000,2.1e-05
Pr2,2000,0.0004,1080,4.2e-05
Pr2,4000,0.0008,1160,8.4e-05
Pr2,8000,0.0016,1240,0.000168
Pr2,16000,0.0032,1320,0.000336
Pr2,32000,0.0064,1400,0.000672
Pr3,1000,0.0003,800,1.8e-05
Pr3,2000,0.0006,880,3.6e-05
Pr3,4000,0.0012,960,7.2e-05
Pr3,8000,0.0024,1040,0.000144
Pr3,16000,0.0048,1120,0.000288
Pr3,32000,0.0096,1200,0.000576
Pr4,1000,0.0004,600,1.5e-05
Pr4,2000,0.0008,680,3e-05
Pr4,4000,0.0016,760,6e-05
Pr4,8000,0.0032,840,0.00012
Pr4,16000,0.0064,920,0.00024
Pr4,32000,0.0128,1000,0.00048
